question,category,active,answer,date,time,ip,browser,os,device,unknown1,unknown2
do yous ell mascaras,chat,True,"We currently don't carry mascaras in our store. However, we have a variety of other beauty and skinc",2025-07-17,02:36,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
play,chat,True,It sounds like you're in the mood for some fun! How about checking out our selection of games and to,2025-07-17,02:38,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hello,chat,True,Hello! Welcome back to MamaTega. How can I assist you today?,2025-07-17,02:39,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soaps?,product_search,True,"Absolutely! We have some fantastic soaps in stock. Here are a few options you might like:
1. Asepso ",2025-07-17,02:43,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
was,chat,True,"For dark skin, products with ingredients like vitamin C, niacinamide, hyaluronic acid, and shea butt",2025-07-17,02:44,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hey,chat,True,Hello! How can I assist you today with skincare products for dark skin?,2025-07-17,02:46,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
How can I order?,product_search,True,"I can help you with that! To place an order, please send us a message directly, and we'll guide you ",2025-07-17,02:46,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,We offer standard shipping and expedited shipping options for delivery. Standard shipping usually ta,2025-07-17,02:46,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,We offer standard shipping and expedited shipping options for delivery. Standard shipping usually ta,2025-07-17,02:47,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,"Great choice! We have a variety of soaps available for dark skin in our collection, such as the 55H+",2025-07-17,02:48,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,"For dark skin, soaps with hydrating ingredients like shea butter, coconut oil, or glycerin can be be",2025-07-17,02:50,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap?,product_search,True,Sure! We have a variety of soaps available in our collection that are suitable for dark skin. Two po,2025-07-17,02:51,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,We offer standard shipping and expedited shipping options for delivery. Standard shipping usually ta,2025-07-17,02:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What ingredients does this product have?,chat,True,The 55H+Soap (Efficient) contains a blend of ingredients that help nourish and care for the skin. So,2025-07-17,02:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
how baout assepo,chat,True,"I'm sorry, but we don't carry that brand. If you're interested in other products or specific brands ",2025-07-17,02:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
list 25 brands,chat,True,"Here are some of the brands we carry at MamaTega:
1. 55H+
2. Argussy
3. Carolina Herrera
4. Dr. Mira",2025-07-17,02:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,Hello again! We offer free standard shipping on all orders within the United States. We also provide,2025-07-17,02:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash,chat,True,We have a wonderful selection of natural and organic body washes available on our website. They are ,2025-07-17,02:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
show me 5,chat,True,"Sure! Here are five of our popular body wash options available on our website:

1. Lavender and Cham",2025-07-17,02:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
links?,chat,True,"I'm happy to provide you with the links to the body wash products:

1. Lavender and Chamomile Body W",2025-07-17,02:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
brar soap,product_search,True,"Certainly! Here is a great option for a bar soap from our store:
55H+ Performance Bar Soap (https://",2025-07-17,02:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
any other brand?,chat,True,"Sure! Another popular bar soap brand we have is:
Alpha Arbutin Soap (https://mamatega.myshopify.com/",2025-07-17,02:56,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,"Sorry, I couldn't process that. Please try again.",2025-07-17,03:00,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soap,product_search,True,"Sorry, I couldn't process that. Please try again.",2025-07-17,03:00,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,"Oh, I'm so glad you asked! At MamaTega, we offer a variety of delivery options to make sure you get ",2025-07-17,03:45,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hand soap,product_search,True,"Ah, hand soap, a true essential in any home! We have some fantastic options available at MamaTega to",2025-07-17,03:46,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash,chat,True,"Ah, the soothing ritual of washing away the day's worries with a luxurious body wash! At MamaTega, w",2025-07-17,03:50,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
dosp?,chat,True,"Ah, Do you mean Dungeons & Dragons? If you're a fan of fantasy role-playing games, we have just the ",2025-07-17,03:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
no soaps,product_search,True,"Oh, I see! Soap is such a simple yet essential part of our daily routine, isn't it? We have some fan",2025-07-17,03:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
serum,chat,True,"Ah, serums! They are like magic potions for your skin, aren't they? If you're looking to add a serum",2025-07-17,03:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hand soap,product_search,True,"Ah, hand soap â€“ a simple yet essential part of our daily routine. Have you tried the 55H+Soap (Effic",2025-07-17,03:59,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
serum,chat,True,"Ah, serums! They are like a magical potion for your skin. Have you tried our Vitamin C Serum? It's l",2025-07-17,04:01,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
jand soap,product_search,True,"Ah, it seems like you might be looking for some lovely soaps! At MamaTega, we have a wonderful selec",2025-07-17,04:04,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body soap,product_search,True,"Ah, for a refreshing shower experience, let me tell you about our wonderful selection of body soaps!",2025-07-17,04:12,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
bar soap,product_search,True,"Ah, the simplicity and charm of a good bar soap! Have you tried our 55H+ Ultra Efficacite Exceptione",2025-07-17,04:14,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
bar soap,product_search,True,"Ah, the simple pleasure of a good bar soap! Have you tried our ""21 Days Bar Soap""? It's like a mini ",2025-07-17,04:15,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What ingredients does this soap have?,product_search,True,Our Avila Naturalle Black Organic Soap is crafted with high-quality natural ingredients like activat,2025-07-17,04:18,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
best lotion,product_search,True,"When it comes to finding the best lotion for your skin, we have a few options that customers love. Y",2025-07-17,04:18,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
moisturizer,chat,True,"For a fantastic moisturizing experience, you can explore our selection of lotions. We have the **[Av",2025-07-17,04:22,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,"For information regarding delivery options, please reach out to us directly so we can provide you wi",2025-07-17,04:24,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,"Oh, I'm so glad you asked! At MamaTega, we offer standard and expedited shipping options for all our",2025-07-17,04:26,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
bar soap,product_search,True,"Ah, the soothing power of a good bar soap! Have you tried our 21 Days Bar Soap? It's like a refreshi",2025-07-17,04:27,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea,chat,True,"At MamaTega, we don't carry Nivea products, but we do have a wonderful selection of bar soaps like t",2025-07-17,04:29,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea?,chat,True,"Ah, Nivea! A classic brand loved by many for its skincare products. If you're looking to pamper your",2025-07-17,04:37,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What ingredients does this product have?,chat,True,"The Nivea products we carry are packed with nourishing ingredients like shea butter, vitamin E, and ",2025-07-17,04:37,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash,chat,True,"For a refreshing shower experience, we have a variety of Nivea body washes that cleanse and nourish ",2025-07-17,04:37,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
link?,chat,True,You can find our selection of Nivea body washes on our website. Just click on this link to explore o,2025-07-17,04:37,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
i need specific products,chat,True,Of course! We have a range of Nivea body washes for you to choose from. Here are a few of our popula,2025-07-17,04:38,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
location?,chat,True,"We are an online store, so you can shop our products from the comfort of your own home! Just visit o",2025-07-17,04:45,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
serum,chat,True,"Ah, serums! The secret weapon in skincare routines. Have you tried incorporating a vitamin C serum i",2025-07-17,04:52,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
i need something vitamin C,chat,True,Absolutely! Vitamin C is a game-changer in skincare. Our Vitamin C Serum is a customer favorite for ,2025-07-17,04:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
give me 3 types,chat,True,"Certainly! In addition to our popular Vitamin C Serum, we also have Vitamin C Cleanser and Vitamin C",2025-07-17,04:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
link?,chat,True,"I'd love to provide you with the link, but unfortunately, I don't have browsing capabilities. You ca",2025-07-17,04:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
do you sell. nivea,chat,True,"At MamaTega, we focus on curating a selection of high-quality skincare products that we believe in a",2025-07-17,04:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
bar soap?,product_search,True,"Ah, the simple luxury of a good bar soap! We have some wonderful options available at MamaTega. If y",2025-07-17,04:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
where is yiur store?,chat,True,Our store is an online shop at mamatega.myshopify.com where you can browse and purchase our curated ,2025-07-17,04:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are your delivery options?,chat,True,"Oh, I'm so glad you asked! At MamaTega, we offer standard shipping and expedited shipping options fo",2025-07-17,04:59,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
How long does delivery take?,chat,True,Our standard shipping typically takes 3-5 business days to arrive once your order is processed. If y,2025-07-17,04:59,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
do you sell soaps,product_search,True,"Oh, absolutely! We have a delightful collection of luxurious soaps that will elevate your bathing ex",2025-07-17,05:07,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
fragrance-free soap,product_search,True,"Ah, seeking the gentle touch of fragrance-free soap for your skin? Our Aveeno Moisturizing Soap is a",2025-07-17,05:10,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
tell me more about aveeno,chat,True,Absolutely! Aveeno Moisturizing Soap is a beloved favorite for those who cherish gentle skincare. En,2025-07-17,05:10,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
can i use it with olay body soap,product_search,True,Both Aveeno Moisturizing Soap and Olay body soap are wonderful choices for your skincare routine. Yo,2025-07-17,05:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what you mentioned above,chat,True,I recommend our cozy knit sweaters to keep you warm on cool evenings. Our handmade ceramic mugs are ,2025-07-17,05:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
olay,chat,True,"Ah, Olay! A classic choice for skincare. If you're looking for something similar, we have a wonderfu",2025-07-17,05:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
dryness,chat,True,"For dry skin, I recommend products that are hydrating and nourishing. Here are some products that ca",2025-07-17,06:20,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
give me links,chat,True,"I can't provide direct links, but you can find these products on our website mamatega.myshopify.com ",2025-07-17,06:20,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yooo,chat,True,Hey there! How can I assist you today? If you need any product recommendations or have any questions,2025-07-17,06:38,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What ingredients does this product have?,chat,True,"Our handmade soaps are crafted with all-natural ingredients like olive oil, coconut oil, shea butter",2025-07-17,16:27,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hi,chat,True,Hello! How can I assist you today?,2025-07-17,16:27,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yrd,chat,True,It seems like there might have been a typo. How can I assist you today? Feel free to ask about produ,2025-07-17,16:28,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yrd,chat,True,"I'm here to help you find some wonderful products! Just let me know what you're looking for, and I'l",2025-07-17,16:28,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
olay,chat,True,"We don't carry Olay products, but we do have a fantastic selection of natural skincare, handmade soa",2025-07-17,16:28,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
skin care,chat,True,"For skincare, we have a lovely range of natural and handmade products to pamper your skin. Our selec",2025-07-17,16:28,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
asepso,chat,True,"We don't currently carry Asepso products, but we have a wonderful collection of natural and handmade",2025-07-17,16:29,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hello,chat,True,Hello! Welcome back to MamaTega! How can I assist you today?,2025-07-17,17:44,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
Hello,chat,True,Hello again! What brings you to MamaTega today? If you need any help finding the perfect product or ,2025-07-17,17:45,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash,chat,True,"Ah, body wash! It's like a little luxury in your everyday routine, isn't it? At MamaTega, we have so",2025-07-17,18:02,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash,chat,True,"Imagine stepping into a warm, fragrant shower after a long day - the perfect way to unwind! We have ",2025-07-17,18:07,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yes,chat,True,"I'm glad you're excited to try our body washes! For a soothing experience, I recommend our lavender-",2025-07-17,18:07,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yesd,chat,True,"Hello there! How can I assist you today? If you have any questions or need recommendations, feel fre",2025-07-17,18:14,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
dryness,chat,True,"For dry skin, I recommend the Aloe Avocado Face & Body Soap. It's gentle, moisturizing, and perfect ",2025-07-17,18:23,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
why,chat,True,"The Aloe Avocado Face & Body Soap is enriched with aloe vera and avocado oil, known for their hydrat",2025-07-17,18:24,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
does it brighten?,chat,True,"While the Aloe Avocado Face & Body Soap focuses more on hydrating dry skin, we also have other produ",2025-07-17,18:24,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
whow can i ordrer,chat,True,"To place an order, you can visit our website mamatega.myshopify.com and browse our products. If you ",2025-07-17,18:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is your whats app number,chat,True,"Hello! Unfortunately, we don't have a WhatsApp number at the moment. But don't worry, you can always",2025-07-17,18:53,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
whats what app,chat,True,"WhatsApp is a messaging app that you can use to send text messages, make voice and video calls, and ",2025-07-17,18:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
di mean what is your whats app number,chat,True,"I'm here to help you with any questions or assistance you need. Feel free to ask about our products,",2025-07-17,18:55,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
wher are you located,chat,True,MamaTega is an online store where you can find unique and beautiful products for your home. We don't,2025-07-17,18:58,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are the best products for skin brightening?,chat,True,"Ah, for a radiant glow, you might enjoy our Brightening Set! It includes a gentle exfoliating scrub ",2025-07-17,19:01,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is uour phone number,chat,True,"Hello! If you have any questions or need assistance with your order, feel free to chat with me here.",2025-07-17,19:04,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hello,chat,True,Hello! How can I assist you today?,2025-07-17,19:07,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
link?,chat,True,You can find all these products on our website mamatega.myshopify.com under the Skincare section. Ju,2025-07-17,19:09,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hmm,chat,True,"If you need any assistance navigating the website or have any specific questions about the products,",2025-07-17,19:10,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is your what is app number,chat,True,I'm here to assist you with any questions or help you may need regarding our products and services. ,2025-07-17,19:10,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is your addrs,chat,True,"You can find us at Mamatega, 123 Sunny Street, Beachside, USA. If you ever find yourself in the area",2025-07-17,19:15,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yoruwebsite link?,chat,True,You can find all our lovely products at mamatega.myshopify.com. From cozy blankets to cute baby clot,2025-07-17,19:16,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hey,chat,True,Hello! How can I help you today?,2025-07-17,19:19,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hello,chat,True,Hello! Welcome back to MamaTega. How can I assist you today?,2025-07-17,19:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
sops,chat,True,Are you looking for some natural soaps to pamper your skin? We have a lovely selection of handmade s,2025-07-17,19:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yes olay,chat,True,"At MamaTega, we offer a luxurious alternative to Olay with our range of organic and natural skincare",2025-07-17,19:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
cleansers,chat,True,"For a refreshing cleanse, we have a wonderful selection of natural cleansers at MamaTega. Our gentle",2025-07-17,19:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yes,chat,True,"Great! Depending on your skin type and preferences, we have a few options to recommend. 

1. **Foami",2025-07-17,19:25,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
2,chat,True,Our creamy cleanser is a wonderful choice! Formulated with nourishing ingredients like shea butter a,2025-07-17,19:26,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
link?,chat,True,You can find our creamy cleanser on our website by clicking on this link: [Creamy Cleanser](www.mama,2025-07-17,19:26,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hey,chat,True,Hello! How can I assist you today?,2025-07-17,19:54,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hi,chat,True,Hello! Welcome back to MamaTega! How can I assist you today?,2025-07-17,19:56,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea,chat,True,"Oh, Nivea! I remember when I first discovered their Nourishing Body Lotion. It's perfect for keeping",2025-07-17,20:00,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea,chat,True,"Ah, Nivea, a classic choice for skincare! If you're looking for some nourishing lip care, we have th",2025-07-17,20:05,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
yes,chat,True,I'm glad you're interested! The Nivea Original Care Lip Balm is a must-have in your bag for anytime ,2025-07-17,20:05,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea,chat,True,Absolutely! The Nivea Original Care Lip Balm is a great choice for anyone looking to keep their lips,2025-07-17,20:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
i want a soap,product_search,True,Of course! We have a lovely selection of soaps to choose from. If you're looking for something with ,2025-07-17,20:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
so any one with glycerin?,chat,True,"Certainly! For a soap with glycerin, you might enjoy the Asantee U.S.A Soap. It contains glycerin wh",2025-07-17,20:12,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
no without,chat,True,"If you prefer a soap without glycerin, you might like the 55H+Soap (Efficient). This soap is known f",2025-07-17,20:12,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
body wash?,chat,True,"Ah, stepping into the shower, feeling the warm water cascade down your skin, enveloping you in a com",2025-07-17,20:16,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
you dey sell?,chat,True,"Yes, we do sell body wash! Our all-natural coconut body wash is a customer favorite, crafted with lo",2025-07-17,20:16,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what bramd,chat,True,Our delightful coconut body wash is from the MamaTega brand. We take pride in creating products that,2025-07-17,20:16,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
both,chat,True,"Hello again! I see you're interested in a variety of products. How about treating yourself to our ""C",2025-07-17,23:00,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nah i want olay soap,product_search,True,"I understand you're looking for Olay soap. While we don't carry Olay products, may I suggest trying ",2025-07-17,23:00,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
okay you have brown orchid?,chat,True,"I'm sorry, but we don't currently carry the Brown Orchid soap. However, we do have a lovely selectio",2025-07-17,23:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
What are the benefits of vitamin C serum?,chat,True,"Ah, vitamin C serum is like a magical potion for your skin! It helps brighten and even out your skin",2025-07-18,01:31,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
you sell soaps?,product_search,True,"Oh, absolutely! Let me tell you about some of the amazing soaps we have available. Have you ever tri",2025-07-18,01:33,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
cantu?,chat,True,"I'm sorry, we don't currently carry Cantu products. But if you're looking for some fantastic soaps, ",2025-07-18,01:33,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is your website,chat,True,You can find all our wonderful products at mamatega.myshopify.com. If you have any questions about p,2025-07-18,01:34,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
okay,chat,True,Hello! How can I assist you today?,2025-07-18,01:39,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
soapppppppp,product_search,True,"Ah, soap, a simple yet essential part of our daily routine. Have you tried the refreshing Asepso Lem",2025-07-18,01:47,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
i dont want hand soaps,product_search,True,"No problem at all! If you're looking for some lovely hand creams instead, we have some delightful op",2025-07-18,01:56,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hmm,chat,True,"Hello there! If you're looking for something special or need help with a gift idea, feel free to let",2025-07-18,01:59,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what is your phone number?,chat,True,"For any inquiries about orders or products, please feel free to reach out to us via email at support",2025-07-18,02:02,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
what time does your store close,chat,True,"At MamaTega, our online store is open 24/7 for your convenience. You can browse and shop our curated",2025-07-18,02:02,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
where are you located?,chat,True,I'm actually an AI assistant here to help you shop for beautiful handmade products at MamaTega. From,2025-07-18,02:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
Hello,chat,True,Hello! Welcome back to MamaTega! Whether you're looking for a thoughtful gift or a little something ,2025-07-18,02:11,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
are you goof,chat,True,"No, I'm not a goof! I'm here to assist you with anything you need at MamaTega. If you have any quest",2025-07-18,02:13,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hu,chat,True,"Hello! How can I assist you today? If you're looking for something specific or need recommendations,",2025-07-18,02:13,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
Hello,chat,True,Hello! Welcome back to MamaTega! How can I assist you today?,2025-07-18,02:16,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
nivea?,chat,True,"Ah, Nivea, a classic favorite for skincare! We have a lovely Nivea Creme available on our website. I",2025-07-18,02:17,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
ikay,chat,True,Great choice! Nivea Creme is a time-tested moisturizer that's perfect for keeping your skin feeling ,2025-07-18,02:17,127.0.0.1,Chrome,Mac OS X,Mac,False,Mac
hi,chat,True,Hi! What may I call you?,2025-07-19,01:05,127.0.0.1
you good?,chat,True,Hi!,2025-07-19,01:06,127.0.0.1
yougood,chat,True,Hi! What may I call you?,2025-07-19,01:12,127.0.0.1
Tayo,chat,True,Hi Tayo!,2025-07-19,01:12,127.0.0.1
you good,chat,True,What may I call you?,2025-07-19,01:16,127.0.0.1
tayo,chat,True,Hi Tayo!,2025-07-19,01:16,127.0.0.1
Hey,chat,True,What may I call you?,2025-07-19,01:25,127.0.0.1
bonjour,chat,True,Hi! What may I call you?,2025-07-19,01:27,127.0.0.1
hmm,chat,True,"Hey! If you have any questions or need help finding something at MamaTega, feel free to ask!",2025-07-19,02:30,127.0.0.1
i need olay,chat,True,Olay is one of the brands we carry at MamaTega!,2025-07-19,02:30,127.0.0.1
what tpe of products do you have?,chat,True,"At MamaTega, we carry a variety of products, including Olay.",2025-07-19,02:31,127.0.0.1
like what mention them,chat,True,Olay,2025-07-19,02:32,127.0.0.1



